,name,team,date,location,opponent,minutes,made_two_point_field_goals,made_three_point_field_goals,made_free_throws,rebounds,assists,blocks,steals,turnovers,recent_average,fantasy_points,fantasy_points_8_9,predicted_points,actual_points
62,Jared Dudley,LOS ANGELES LAKERS,2020-02-27,AWAY,GOLDEN STATE WARRIORS,15.519490736301103,0.1105367393237351,0.3301863333805948,0.0,1.225100042442341,0.10495264598911894,0.09986474256200935,0.3673029668366472,0.06819369604421804,3.2635,0,5.040665246963854,4.172490930855495,6.9
63,Bobby Portis,NEW YORK KNICKS,2020-02-27,AWAY,PHILADELPHIA 76ERS,25.107507372626777,3.5144132228716534,1.2366069582987376,2.1337585602878155,4.851460007006968,1.589731479385562,0.37451635531989425,0.4566812035537162,1.2514531196264103,20.936999999999998,0,21.73682143271101,22.32089466540846,7.199999999999999
64,Draymond Green,GOLDEN STATE WARRIORS,2020-02-27,HOME,LOS ANGELES LAKERS,27.53359350120096,1.8949230927949223,0.9617030524708856,1.2775822767105176,5.648806600607324,7.335313063081587,0.5316891231992273,1.115941065402143,2.3042633947997864,28.6665,0,28.70920145504745,28.372702306068515,9.2
65,JaKarr Sampson,INDIANA PACERS,2020-02-27,HOME,PORTLAND TRAIL BLAZERS,17.199855332137297,1.582354824658093,0.22406502365053327,0.18407174588162536,2.217158321507791,0.1472622296307143,0.37143698457957197,0.39112433045238026,0.09115153444843095,7.81,0,9.79887782072391,9.098992207052259,3.0
66,Goga Bitadze,INDIANA PACERS,2020-02-27,HOME,PORTLAND TRAIL BLAZERS,17.648010106056027,1.1896175597242138,0.3914661588880833,0.32570871926859174,2.0696537357148386,0.7122826532497667,0.4757229837029192,0.5179779128287135,0.22704169601059243,8.26725,0,10.825010141457739,10.18541177169803,6.2
67,Hamidou Diallo,OKLAHOMA CITY THUNDER,2020-02-27,HOME,SACRAMENTO KINGS,19.75321840130514,1.8131719104963961,0.3276905782464923,0.29930408922012874,3.438058079600804,0.8715704780169753,0.19244174457322183,0.501414943636231,0.5204105108398771,9.061,0,12.346705990247138,11.902904611287306,9.6
68,Justin James,SACRAMENTO KINGS,2020-02-27,AWAY,OKLAHOMA CITY THUNDER,14.907439731299924,0.35951557735174516,0.18097667564682687,0.22333285058705996,0.5504834067727092,0.2808986490384758,0.047387554917042565,0.2979303775418048,0.06585764394278062,3.19775,0,4.496154560378933,3.5373182473497575,0.0
69,Juan Toscano-Anderson,GOLDEN STATE WARRIORS,2020-02-27,HOME,LOS ANGELES LAKERS,23.41456539607948,2.0565160874781796,0.7777332349719706,0.6108053946738101,4.170386857199922,2.2042239560312646,0.41819189076904406,0.9823230519074582,0.9610409661264416,18.5105,0,18.500832316841194,18.60834129913595,9.8
70,Troy Daniels,LOS ANGELES LAKERS,2020-02-27,AWAY,GOLDEN STATE WARRIORS,17.025811977516746,0.179246551315708,0.9423111761349077,0.24599988046363563,1.0277255240267664,0.26701728996633484,0.11765450010739012,0.36887227616179336,0.3564644867765331,4.72875,0,6.851629448525877,6.168338917312415,4.4
71,Alex Caruso,LOS ANGELES LAKERS,2020-02-27,AWAY,GOLDEN STATE WARRIORS,21.04314160898958,1.7544206562812574,0.7790549078454758,0.8544351370859047,2.538852302811568,2.2168042027061494,0.3292677570526701,0.9445267619651092,0.9142427795532524,16.959249999999997,0,15.584342708883234,15.979411018118036,14.3
72,Danny Green,LOS ANGELES LAKERS,2020-02-27,AWAY,GOLDEN STATE WARRIORS,23.947373778446362,0.7123130141985374,1.825874443840221,0.46534775632565967,3.2479261646710995,1.803451325340979,0.5347354629239716,0.9961163700110856,0.8215773709277161,18.704249999999995,0,17.69585895216387,17.74126362973764,1.5
73,Dennis Smith,NEW YORK KNICKS,2020-02-27,AWAY,PHILADELPHIA 76ERS,25.316449147127848,2.993182120904336,0.6177172001027904,1.087679346635264,3.0905332597035473,3.6365639174451827,0.11402831179731088,1.3251014020087384,1.6832512267159667,19.7715,0,20.372325886486543,20.724818891266516,3.2
74,Nassir Little,PORTLAND TRAIL BLAZERS,2020-02-27,AWAY,INDIANA PACERS,17.353343975194782,0.8817268129198583,0.5853565516028062,0.48199029839260976,1.6211585720803405,0.4587543767699409,0.2305591557386811,0.38665557990923893,0.1022100560120411,8.345,0,9.390931629704138,8.384469581623785,3.5999999999999996
75,Mychal Mulder,GOLDEN STATE WARRIORS,2020-02-27,HOME,LOS ANGELES LAKERS,21.412125298622314,0.5588589451736379,1.6981544430736502,0.4266142760263376,3.618642693787802,0.3921601516894129,0.26673848561667235,0.43970004890697023,0.6413240997275182,6.8,0,13.12537950273816,13.047398459517455,6.8
76,Wayne Ellington,NEW YORK KNICKS,2020-02-27,AWAY,PHILADELPHIA 76ERS,22.28325912404899,0.7109832534150513,1.7778346089572146,0.7575033538352332,1.6134156998978302,1.1826165524081709,0.03807071512228166,0.5881922369899795,0.4863903450384863,13.82025,0,12.46476570714514,12.61539586732493,3.0
77,Dragan Bender,GOLDEN STATE WARRIORS,2020-02-27,HOME,LOS ANGELES LAKERS,20.318943593832447,1.249183914527964,0.9648581884198602,0.4390047657534688,4.275133439806307,1.7638469742894012,0.48670655423281906,0.661412355362238,1.0071378377545015,12.214500000000001,0,15.863941546603591,16.045096640301317,13.3
78,Doug McDermott,INDIANA PACERS,2020-02-27,HOME,PORTLAND TRAIL BLAZERS,22.18106820014356,2.0378276411588514,1.6230642421576984,0.980613175844899,2.469630207326791,1.3678671793920791,0.1538267076209059,0.4250920929513118,0.5262714440673855,13.527249999999999,0,16.144253609446896,16.15130316016523,4.4
79,Anfernee Simons,PORTLAND TRAIL BLAZERS,2020-02-27,AWAY,INDIANA PACERS,23.04712804142065,1.9306442246358806,1.54376293221265,1.4837277581309347,1.8035735986804688,1.924500918030775,0.06684982861237643,0.6815650655094849,0.8076189894627706,15.93825,0,16.18340699862365,16.464970392406183,9.6
80,Wenyen Gabriel,PORTLAND TRAIL BLAZERS,2020-02-27,AWAY,INDIANA PACERS,15.844083198205093,0.5572419879565365,0.3076051526598883,0.2722586670428649,1.8769457392684719,0.33656687633966587,0.2223416540787254,0.30036885942818453,0.07796203208862716,6.3085,0,7.850198916059874,6.55691281099937,1.4000000000000004
81,Kevin Knox,NEW YORK KNICKS,2020-02-27,AWAY,PHILADELPHIA 76ERS,18.726610793749096,1.0314809712291115,0.8305545514100744,0.4281538723025006,1.5954298117031744,0.833211331824937,0.21059685025215374,0.33742051965931635,0.5366434812645332,6.18375,0,9.36898780402305,9.254520869242038,2.2
82,Terrance Ferguson,OKLAHOMA CITY THUNDER,2020-02-27,HOME,SACRAMENTO KINGS,17.346378314643168,0.23041068389061134,0.7603849294287365,0.2621131729135735,1.2260281326415843,1.1286901176808566,0.2705067447570466,0.4221103001553516,0.27741161389255015,7.302,0,8.401151389689993,7.968797785516836,0.0
83,Yogi Ferrell,SACRAMENTO KINGS,2020-02-27,AWAY,OKLAHOMA CITY THUNDER,18.592010784096658,0.6420213041343472,0.7022684573472686,0.24599564781076177,1.110122635876585,1.0817174083076933,0.1595860902920637,0.5941337706355736,0.4020823160456213,5.939,0,8.57104314062924,8.450644170371994,3.4000000000000004
