name,pos,team,rank
"Gordon, Aaron^",SF/PF,Orlando,13.0
"Hayward, Gordon^",SF/PF,Boston,3.0
"Tatum, Jayson^",SF/PF,Boston,3.0
"Moore, E'Twaun",SG/SF,New Orleans,22.0
"Redick, J.J.^",SG/SF,New Orleans,22.0
"Brown Jr., Troy^",SG/SF,Washington,22.5
"Richardson, Josh^",SG/SF,Philadelphia,5.5
"Gordon, Eric",SG/SF,Houston,16.5
"Iwundu, Wes",SG/SF,Orlando,16.0
"Hart, Josh",SG/SF,New Orleans,22.0
"Crabbe, Allen",SG/SF,Atlanta,28.0
"Korkmaz, Furkan",SG/SF,Philadelphia,5.5
"Parker, Jabari",SF/PF,Atlanta,27.0
"Reddish, Cam^",SG/SF,Atlanta,28.0
"Hunter, De'Andre^",SF/PF,Atlanta,27.0
"Williams, Grant",SF/PF,Boston,3.0
"House, Danuel^",SF/PF,Houston,16.0
"Tucker, P.J.^",SF/PF,Houston,16.0
"Scott, Mike",SF/PF,Philadelphia,2.5
"Bembry, DeAndre",SG/SF,Atlanta,28.0
"McLemore, Ben",SG/SF,Houston,16.5
"Williams, Kenrich",SF/PF,New Orleans,23.0
"Langford, Romeo",SG/SF,Boston,11.0
"Saric, Dario",SF/PF,Phoenix,15.5
"Carter, Vince",SF/PF,Atlanta,27.0
"Sefolosha, Thabo",SF/PF,Houston,16.0
"Ojeleye, Semi",SF/PF,Boston,3.0
"Smith, Zhaire",SG/SF,Philadelphia,5.5
"Thybulle, Matisse",SG/SF,Philadelphia,5.5
"Howard, William",SF/PF,Houston,16.0
"Ennis, James",SF/PF,Philadelphia,2.5
"Green, Gerald",SG/SF,Houston,16.5
"Parsons, Chandler",SF/PF,Atlanta,27.0
"Isaac, Jonathan",SF/PF,Orlando,13.0
"Cheatham, Zylan",SF/PF,New Orleans,23.0
"Brown, Charlie",SG/SF,Atlanta,28.0
"Miller, Darius",SF/PF,New Orleans,23.0
"Shayok, Marial",SG/SF,Philadelphia,5.5
"Capela, Clint^",C,Houston,11.0
"Embiid, Joel^",C,Philadelphia,15.0
"Favors, Derrick^",PF/C,New Orleans,17.5
"Ayton, Deandre^",C,Phoenix,12.0
"Kanter, Enes",C,Boston,2.0
"Theis, Daniel^",PF/C,Boston,1.5
"Collins, John^",PF/C,Atlanta,29.0
"Len, Alex",C,Atlanta,30.0
"Horford, Al^",PF/C,Philadelphia,8.5
"Hayes, Jaxson",C,New Orleans,14.0
"Birch, Khem^",C,Orlando,7.0
"Hartenstein, Isaiah",PF/C,Houston,15.0
"Fernando, Bruno",C,Atlanta,30.0
"Clark, Gary",PF/C,Houston,15.0
"Pelle, Norvel",C,Philadelphia,15.0
"Chandler, Tyson",C,Houston,11.0
"Okafor, Jahlil",C,New Orleans,14.0
"Jones, Damian",C,Atlanta,30.0
"Melli, Nicolo",PF/C,New Orleans,17.5
"O'Quinn, Kyle",PF/C,Philadelphia,8.5
"Bolden, Jonah",PF/C,Philadelphia,8.5
"Williamson, Zion",PF/C,New Orleans,17.5
"Fall, Tacko",C,Boston,2.0
"Hilario, Nene",C,Houston,11.0
"Poirier, Vincent",C,Boston,2.0
"Williams, Robert",PF/C,Boston,1.5
"McRae, Jordan^",PG/SG,Washington,24.0
"White, Derrick^",PG/SG,San Antonio,20.5
"Forbes, Bryn",PG/SG,San Antonio,20.5
"Walton Jr., Derrick^",PG,LA Clippers,7.0
"Bowman, Ky^",PG,Golden State,29.0
"Murray, Dejounte",PG,San Antonio,16.0
"DiVincenzo, Donte",PG/SF,Milwaukee,13.0
"Burks, Alec",SG/SF,Golden State,27.0
"Temple, Garrett^",SG/SF,Brooklyn,14.0
"Walker, Lonnie^",SG/SF,San Antonio,24.0
"Kurucs, Rodions",SF/PF,Brooklyn,11.5
"Matthews, Wes^",SG/SF,Milwaukee,10.5
"Reddish, Cam",SG/SF,Atlanta,28.0
"George, Paul",SF,LA Clippers,10.0
"Jordan, DeAndre",C,Brooklyn,26.0
"Chriss, Marquese",PF/C,Golden State,14.5
"Fernando, Bruno^",C,Atlanta,30.0
"Allen, Jarrett^",C,Brooklyn,26.0
"Jones, Damian^",C,Atlanta,30.0
"Cauley-Stein, Willie^",C,Golden State,6.0
"Collins, John",PF/C,Atlanta,29.0
"Trent Jr., Gary^",SG,Portland,16.0
"McCollum, C.J.",PG/SG,Portland,18.5
"Jones, Derrick^",SF/PF,Miami,11.5
"Wiggins, Andrew^",SG/SF,Minnesota,24.5
"Mykhailiuk, Sviatoslav",SG/SF,Detroit,4.0
"Martin, Kelan",SF,Minnesota,21.0
"Porter, Kevin^",SG/SF,Cleveland,29.5
"Butler, Jimmy",SG/SF,Miami,10.0
"Henson, John^",C,Cleveland,29.0
"Wood, Christian^",PF/C,Detroit,28.5
"Thompson, Tristan",C,Cleveland,29.0
"Love, Kevin",PF/C,Cleveland,28.0
"Holiday, Jrue",PG/SG,New Orleans,22.5
"Green, Draymond",PG/SF,Golden State,28.5
"Chiozza, Chris",PG/SG,Brooklyn,15.0
"Hardaway Jr., Tim^",SG/SF,Dallas,11.0
"Bonga, Isaac^",SF,Washington,27.0
